Name,Noise_Level,Scale,Filter,Denoised_PSNR,Denoised_SSIM,Denoised_MSE,Denoised_Entropy_Diff,Denoised_Noise_Variance,Denoised_Sharpness,Denoised_Spatial_Freq,Denoised_Dynamic_Range,PSNR_Improvement,SSIM_Improvement,MSE_Reduction
denoised_BSDS300_10_46076_bw.jpg,scale_0.5,0.5,median_k5,27.63610065841254,0.7647236146829361,112.06507729872216,0.10390330272765702,110.78121706729493,86.45712112324071,7.72671051761707,223,-5.852634814717607,-0.05446573354394113,-82.9440418132007
denoised_BSDS300_11_66039_bw.jpg,scale_0.5,0.5,median_k5,24.54962007071163,0.645093357332554,228.09635947953706,0.24905470433100163,222.8514374850354,91.79819999001836,8.23718683384921,230,-11.523491799250497,-0.2927063075372186,-212.03548552146682
denoised_BSDS300_12_249087_bw.jpg,scale_0.5,0.5,median_k5,24.578265948189745,0.7172339498197643,226.59679665287143,0.031908312290941154,224.391754099017,211.61430858286028,12.913456336088569,227,-8.828529604345299,-0.2263652513652561,-196.92110802391178
denoised_BSDS300_13_20008_bw.jpg,scale_0.5,0.5,median_k5,26.338705190775855,0.7774159720662563,151.0809968847352,0.16417120986986777,147.797502948036,83.6691957387567,7.174031252369752,197,-7.532411095180436,-0.04684132031131072,-124.41433021806854
denoised_BSDS300_14_42044_bw.jpg,scale_0.5,0.5,median_k5,25.73461551192125,0.8237656597037722,173.62761899210497,0.050913066351212954,171.6325983627074,103.22559430115801,8.969935923395797,224,-12.639089236413554,-0.13139502321799923,-164.1715662463326
denoised_BSDS300_15_108070_bw.jpg,scale_0.5,0.5,median_k5,21.402419817337982,0.5702579579550647,470.80208677404937,0.20573627190697152,463.3369367836463,177.0032383139063,10.791685277618964,230,-14.54918163378635,-0.3989330683842063,-454.2855033322323
denoised_BSDS300_16_87065_bw.jpg,scale_0.5,0.5,median_k5,22.394320912022504,0.722413112755804,374.66943866943865,0.16559265087121222,372.74387599072924,328.0007269073301,16.165737608034654,220,-10.983515480886393,-0.24574323278568322,-344.7952085802553
denoised_BSDS300_17_143090_bw.jpg,scale_0.5,0.5,median_k5,31.232459584334606,0.8704804716039346,48.959210108742816,0.058647858603170455,47.93156062059337,62.19265217953898,6.460768873379238,218,-3.874183782713473,0.03457451918472565,-28.895279175653005
denoised_BSDS300_18_117054_bw.jpg,scale_0.5,0.5,median_k5,22.099855337013068,0.6668366105906858,400.95425547761994,0.07596425913440719,400.43113234281043,211.72880405302743,12.025635887545665,245,-11.1642366852708,-0.20854571237458708,-370.2872649788537
denoised_BSDS300_19_189080_bw.jpg,scale_0.5,0.5,median_k5,33.06453467629222,0.8635644242106204,32.10900836134481,0.043028986294140203,31.082094085422778,114.98142933617511,9.649426663613966,247,-0.378284528702288,0.05312246425474221,-2.678454155089671
denoised_BSDS300_1_26031_bw.jpg,scale_0.5,0.5,median_k5,16.395674186818244,0.521595776055982,1491.1211909249294,0.20220218811162471,1456.7833261197495,679.3322621702978,20.273216129139463,251,-18.803187067500577,-0.4527515462815793,-1471.4788051890857
