Name,Noise_Level,Scale,Filter,Denoised_PSNR,Denoised_SSIM,Denoised_MSE,Denoised_Entropy_Diff,Denoised_Noise_Variance,Denoised_Sharpness,Denoised_Spatial_Freq,Denoised_Dynamic_Range,PSNR_Improvement,SSIM_Improvement,MSE_Reduction
denoised_BSDS300_10_46076_bw.jpg,scale_0.1,0.1,gaussian_k5,29.58115941767552,0.8535086062304814,71.60847403838058,0.08332981862228728,69.80660846203509,37.45572241853227,7.381732286804274,221,-10.675544810207885,-0.09744477987746769,-65.47918731096301
denoised_BSDS300_11_66039_bw.jpg,scale_0.1,0.1,gaussian_k5,26.30514658283982,0.7710097015717735,152.25294525294527,0.1665869805519442,148.62275804340777,49.57130982333231,8.332590553259449,231,-16.32796787047926,-0.21303769359520386,-148.70669879081095
denoised_BSDS300_12_249087_bw.jpg,scale_0.1,0.1,gaussian_k5,26.835325033849298,0.8512953574644366,134.75592126993996,0.03086119977266044,132.21599768516012,92.65553390436968,12.33595231649852,227,-13.313313243971667,-0.13595397863082814,-128.47220549089707
denoised_BSDS300_13_20008_bw.jpg,scale_0.1,0.1,gaussian_k5,29.112233773824478,0.8770157766579051,79.77319447412906,0.11521275555381649,78.18105820554935,51.81791614169497,7.8093853441396694,186,-11.520344015254132,-0.07602594812055252,-74.1520780305827
denoised_BSDS300_14_42044_bw.jpg,scale_0.1,0.1,gaussian_k5,27.89028384596897,0.8989437446399395,105.69439964767068,0.02206847938886458,102.86992495873642,60.17750529645874,9.146554175926395,226,-16.898120482596394,-0.09064381150977163,-103.53546285321987
denoised_BSDS300_15_108070_bw.jpg,scale_0.1,0.1,gaussian_k5,23.653968905915605,0.7596716308421076,280.33896801186523,0.15220797955433518,275.3584747877303,124.98777181094945,11.786441833308052,226,-18.885063213784377,-0.23358330993839815,-276.7150601356209
denoised_BSDS300_16_87065_bw.jpg,scale_0.1,0.1,gaussian_k5,24.54231068711081,0.8480832232006804,228.480579788991,0.145911498631226,223.8521779769922,169.548318913577,16.334278043412198,217,-15.547011919844767,-0.14479718943868458,-222.11045265250874
denoised_BSDS300_17_143090_bw.jpg,scale_0.1,0.1,gaussian_k5,32.84302057602565,0.927137441295939,33.78923063969793,0.0344000711208885,32.08198217124217,22.310875945461504,5.721309115506439,226,-8.985957222870468,-0.031785610878894976,-29.52164169921179
denoised_BSDS300_18_117054_bw.jpg,scale_0.1,0.1,gaussian_k5,24.200092995760322,0.8066597742499304,247.21286131566507,0.06054255353939375,242.7364883500925,123.13104929288568,12.413043550346677,243,-15.80583073880107,-0.159670642245206,-240.7192246164209
denoised_BSDS300_19_189080_bw.jpg,scale_0.1,0.1,gaussian_k5,33.20354983645236,0.9150398500260787,31.097492891885416,0.0337562492843233,29.60208741282504,27.52215710297443,7.899850823353638,244,-6.911645404475415,-0.030630623731978446,-24.76520229791258
denoised_BSDS300_1_26031_bw.jpg,scale_0.1,0.1,gaussian_k5,18.939047542697892,0.7268456563873915,830.1863848032073,0.3403684721982092,814.5416934118421,343.0425121370377,19.56835456099448,251,-22.798248482327445,-0.2667755850799365,-825.8277472296164
denoised_BSDS300_20_42049_bw.jpg,scale_0.1,0.1,gaussian_k5,29.31784239601255,0.9365239665334701,76.08448779476817,0.00549456826807404,73.84575273152093,61.331506759048104,10.591233970179985,199,-9.918216039025125,0.026256060803503734,-68.3314032940201
denoised_BSDS300_2_97033_bw.jpg,scale_0.1,0.1,gaussian_k5,25.073884178001716,0.8101982852077493,202.15847047622748,0.058784091924566795,197.66945450669726,117.67509156563135,13.571332703878848,244,-15.192283828834224,-0.1688083344859026,-196.04252563131067
denoised_BSDS300_3_15088_bw.jpg,scale_0.1,0.1,gaussian_k5,26.699300831347625,0.8182561241737072,139.04336759476948,0.28255631967449535,136.44276460122455,82.21697238678846,9.7119906292617,184,-13.086788524359175,-0.1412391168621695,-132.21256986677548
denoised_BSDS300_4_176039_bw.jpg,scale_0.1,0.1,gaussian_k5,28.422132652613634,0.8997570090996595,93.51194616615177,0.030626776350737295,91.7642985036032,64.04930709498576,9.671043496355745,223,-12.292580934148397,-0.06875771494160854,-87.99613992137357
