Name,Noise_Level,Scale,Noisy_PSNR,Noisy_SSIM,Noisy_MSE,Noisy_Entropy_Diff,Noisy_Noise_Variance,Noisy_Sharpness,Noisy_Spatial_Freq,Noisy_Dynamic_Range
noisy_BSDS300_10_46076.jpg,scale_5.0,5.0,24.10123044359723,0.4460888506399598,252.90494232550307,0.42568407780924034,250.20585177046556,5769.350882603731,35.90065915035369,255
noisy_BSDS300_11_66039.jpg,scale_5.0,5.0,26.31542510168564,0.7212088831413502,151.89303178088224,0.28077616355054147,151.4610547057826,5176.544043278465,35.3186813385181,253
noisy_BSDS300_12_249087.jpg,scale_5.0,5.0,23.67788093866691,0.6864369823299326,278.7996774632289,0.045338022629318964,276.87546264196106,6745.109988304909,40.90727730271503,248
noisy_BSDS300_13_20008.jpg,scale_5.0,5.0,24.0247065341661,0.43884406167241424,257.4006904100362,0.5587711994648306,257.07444946411863,5986.674154677406,36.96541741191435,237
noisy_BSDS300_14_42044.jpg,scale_5.0,5.0,28.477768056343194,0.7059905341488681,92.32164947118218,1.0827303088405342,92.3184313022705,3115.3232817941953,29.164641067025034,255
noisy_BSDS300_15_108070.jpg,scale_5.0,5.0,25.887129041937595,0.7798396063145475,167.6360645332608,0.16218393612786652,167.48752211459046,6939.627328358033,42.9988428560092,254
noisy_BSDS300_16_87065.jpg,scale_5.0,5.0,23.62204835873531,0.8020184878203397,282.40704399582904,0.05632560200461256,281.5183829627902,8026.032680627928,46.77427230706322,245
noisy_BSDS300_17_143090.jpg,scale_5.0,5.0,25.42039341257687,0.4417759104697868,186.65559808550464,0.09272226158717167,186.61996220414687,4098.8824782635875,29.928600903226304,255
noisy_BSDS300_18_117054.jpg,scale_5.0,5.0,23.604195278526102,0.5995606012137453,283.57035900026557,0.06952783212186997,282.8028726573247,8843.371416800246,47.057755460836994,255
noisy_BSDS300_19_189080.jpg,scale_5.0,5.0,24.161006914852223,0.4293897308375081,249.4477950272343,0.3188701824857221,245.74249230602803,5038.075823122086,33.333616145028266,255
noisy_BSDS300_1_26031.jpg,scale_5.0,5.0,25.44428690362446,0.8489222120296627,185.6314985006574,0.36603052215114396,181.71891657430578,12712.137294996981,61.823836168420115,255
noisy_BSDS300_20_42049.jpg,scale_5.0,5.0,22.77985771902081,0.3291128598345504,342.8424492069352,0.9641997155653224,342.42608697791866,7616.4778660153,41.79482320908936,254
noisy_BSDS300_2_97033.jpg,scale_5.0,5.0,24.021972764718367,0.6643771603773325,257.5627683758525,0.20865080797762126,251.67917223784258,6795.15260554412,42.05651296015991,255
noisy_BSDS300_3_15088.jpg,scale_5.0,5.0,22.932973312488404,0.5043362996438465,330.9657320872274,0.4530701009468716,330.9521352533659,7933.623895289366,43.57653521785196,249
noisy_BSDS300_4_176039.jpg,scale_5.0,5.0,24.269285443478218,0.4932433051616725,243.30543843627956,0.14942620482500413,242.5518015602401,5729.508186695466,36.845775599482074,248
