noise_type,best_method,ssim,psnr,pixel_abs_error
gaussian,log_gaussian,0.7738727065449513,25.84763515092656,0.027223287881572727
poisson,anscombe_naive,0.903902718455343,33.589409376043676,0.01240536579619725
salt_pepper,median_clustering,0.8705965015632092,28.802531854032917,0.01549051963378067
speckle,anscombe_naive,0.7815446584323897,27.798311676192377,0.02364566350933642
