,ssim_denoised,ssim_denoised,psnr_denoised,psnr_denoised,pixel_abs_error,pixel_abs_error
,mean,std,mean,std,mean,std
denoise_method,,,,,,
median_clustering,0.7912,0.1251,27.8132,4.6392,0.0215,0.0106
anscombe_naive,0.7255,0.2296,28.5504,7.1335,0.0205,0.0131
frequency_domain,0.6651,0.2346,27.2416,5.1402,0.0282,0.0171
log_gaussian,0.6635,0.1922,24.2812,4.6944,0.0361,0.0245
anscombe_exact,0.4477,0.2391,11.7305,0.5934,0.2535,0.0105
