SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.28381657731388304,9.828983494233242,6763.663790125425,6335.828280923256,79.59791631018525,7.095667345868872,148.26819091059676,4.jpg,4.jpg
0.12626118541177533,5.463680258668378,18480.441187021683,14921.840133118285,122.15498406990312,7.334178570464927,1149.6318408294005,5.jpg,5.jpg
0.24933972020399373,4.949886427337456,20801.359421502977,6549.685625943996,80.93012804848387,6.969905131929345,223.2004780529043,2.jpg,2.jpg
0.09923429883357551,7.813864044712896,10757.069050276361,9922.510616922475,99.61179958680836,7.692122040289602,1050.8715894270917,3.jpg,3.jpg
0.06690173639407737,10.115569271723107,6331.745256696428,5617.960151281518,74.95305298172661,7.883010230584152,3078.8306099833267,1.jpg,1.jpg
0.18188828307291036,8.692454535646593,8786.884287308674,7759.267153106752,88.08670247606474,7.505411204028844,3285.8965239197155,4.jpg,4.jpg
0.12678686566658723,7.397978640005433,11838.113427402212,6325.384368629391,79.53228507109168,7.527279609702682,4901.734374922149,5.jpg,5.jpg
0.35624501193601155,7.00563528926174,12957.369153911564,10207.768319765944,101.03350097747749,7.428863849289616,827.949636919307,2.jpg,2.jpg
0.14061757627645663,6.643843840366537,14083.025862298044,11136.145509421023,105.52793710397746,7.61342511026004,767.9515397748269,3.jpg,3.jpg
0.1300159740021721,8.438238988392975,9316.578809258079,5231.636812013294,72.3300546938359,7.570356733458204,1480.4009478917374,1.jpg,1.jpg
