SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.151205734408813,10.375705808769025,5963.6174930909865,5865.098733485449,76.58393260655559,7.402582543966888,2073.6824365919306,4.jpg,4.jpg
0.32490055273664487,7.636384584929288,11205.775111607143,10295.381757155856,101.4661606505137,6.273868923514597,247.0241472831323,5.jpg,5.jpg
0.1591813632041533,4.230148840992877,24550.79029815051,10670.579370671923,103.29849645891233,7.142969710109703,5418.259906398609,2.jpg,2.jpg
0.2705702658050288,6.23974160785944,15456.323541135203,13679.286147655375,116.95848044351199,6.5071555807310455,2127.815761935954,3.jpg,3.jpg
0.1724141552380348,7.323012320121379,12044.23245509141,6211.935066315956,78.8158300490197,7.382407308871597,2720.898037968452,1.jpg,1.jpg
0.2229148676169212,8.221874603544302,9792.484673947703,8478.649015639932,92.07957979725978,7.759234521153757,2839.2140850923497,4.jpg,4.jpg
0.2523943809750766,7.058625554285034,12800.230947066326,7730.30620333613,87.92215991054888,7.505775684210188,1298.2335776774298,5.jpg,5.jpg
0.1890196351240347,6.511930871634238,14517.347536670919,9093.34717235365,95.35904347440598,7.492936761196847,1156.8446822287588,2.jpg,2.jpg
0.2278927813615245,6.229861790079458,15491.525344122023,8578.721055043796,92.62138551675739,6.509338039190153,2369.7966938419972,3.jpg,3.jpg
0.09089158079314069,6.6602177391625785,14030.029589179421,8154.702395632671,90.30339083131193,7.506346169427281,2626.26351664971,1.jpg,1.jpg
