SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.1388859536442391,9.281277682797885,7672.777290603742,7074.8603056906295,84.11218880572916,7.736701414114903,5029.1455935804315,4.jpg,4.jpg
0.21416705078089313,7.7452490163553565,10928.371731505102,7946.285119334697,89.14193805013831,7.883319941454576,2691.581852426334,5.jpg,5.jpg
0.16788142035859163,6.895597332750237,13289.866782259778,9320.427316970565,96.54236022063354,7.63210300597879,1880.978790346755,2.jpg,2.jpg
0.11458073878124363,6.62958928015731,14129.325587266156,13231.22031603447,115.02704167296693,7.873156728131805,2196.0807303127176,3.jpg,3.jpg
0.1418567882564434,7.885583263729433,10580.885981345664,5769.924397109586,75.9600184117249,7.618815439525022,4468.043870535855,1.jpg,1.jpg
0.1352034303848617,7.516167475838681,11520.295347045068,7488.111155131154,86.53387287722164,7.640303178158569,2413.8427841805355,4.jpg,4.jpg
0.186873848111593,8.30005932224191,9617.770919696004,7176.064022059399,84.71165222128181,7.7324134019821065,2584.6840429325894,5.jpg,5.jpg
0.06689847646850261,5.265002866922339,19345.505135257226,11477.903052475482,107.13497585977925,7.921229848578897,5219.845022300838,2.jpg,2.jpg
0.09138337655500153,7.13745079050486,12570.000119579081,10672.588840240827,103.30822251999513,7.865816425494498,2035.653233541642,3.jpg,3.jpg
0.11889759847692613,10.014424545772924,6480.9385894983,6210.830604808313,78.80882314061233,7.67296831670974,2772.010360542609,1.jpg,1.jpg
