SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.17701214135300972,11.14086551887141,5000.2740686118195,4959.011829438846,70.42025155762258,7.738599726420737,4027.107142944526,4.jpg,4.jpg
0.18510709465706526,9.0153837583527,8157.216424851191,7942.721828568024,89.12194919641303,7.363798360699337,9088.90772567576,5.jpg,5.jpg
0.15240035469139002,7.0786433355006935,12741.367061277637,10864.048129119683,104.23074464436912,7.620286420281684,2649.826382928965,2.jpg,2.jpg
0.1165369516748843,6.6279289717118175,14134.728263180272,8879.20069530688,94.22951074534389,7.424613349223853,5757.862995126654,3.jpg,3.jpg
0.17312616612782314,9.20952278148174,7800.601329985119,7738.989030057252,87.97152397257452,7.320794254538895,5008.408462581214,1.jpg,1.jpg
0.21125717464583926,7.388863472770129,11862.985883025085,7750.538282195678,88.0371414926432,6.322352620505726,2660.1396041784324,4.jpg,4.jpg
0.2159770677679049,9.23348015060483,7757.688655931122,6215.521611545698,78.83857946174385,7.2036427608176075,4998.776183522776,5.jpg,5.jpg
0.10044243789121866,5.780292132175243,17181.107202646683,9567.386565090863,97.81301838247741,7.819323056402755,8087.01343230375,2.jpg,2.jpg
0.11431595218481481,8.797703035659836,8576.499315741921,8470.176732252625,92.03356307485126,7.76982655360704,8891.39823750842,3.jpg,3.jpg
0.21400731606000625,8.542982615743341,9094.568518813776,8970.705022245835,94.71380586929149,7.630775342239253,2405.3503570937955,1.jpg,1.jpg
