image_name,noise_type,noise_level,noise_param_name,noise_param_value,denoise_method,ssim_noisy,psnr_noisy,ssim_denoised,psnr_denoised,ssim_improvement,psnr_improvement,entropy_orig,entropy_noisy,entropy_denoised,noise_var_noisy,noise_std_noisy,noise_var_denoised,noise_std_denoised,pixel_abs_error,pixel_mse,improved_fraction,pixel_corr,max_pixel_error,p99_pixel_error
Pokemon_10_dustox,gaussian,little_noisy,sigma,0.01,frequency_domain,0.8758966265052193,42.37998880347735,0.8731659625123392,33.033664297415754,-0.0027306639928800225,-9.346324506061599,1.8334597418314085,3.2752199180652255,3.3536048196325625,4.7305883320643486e-05,0.006877927254678075,0.00048623876003729574,0.022050822207738553,0.009670973193874784,0.0004973173035679213,0.3237037037037037,0.9957210781194417,0.2559108352673045,0.10618774940533109
Pokemon_10_dustox,gaussian,little_noisy,sigma,0.01,anscombe_naive,0.8758966265052193,42.37998880347735,0.9077165030905817,45.266793769738754,0.03181987658536245,2.8868049662614013,1.8334597418314085,3.2752199180652255,2.7901797967128728,4.7305883320643486e-05,0.006877927254678075,2.0228229378176592e-05,0.004497580391519043,0.004472021259068492,2.973860709276494e-05,0.3573148148148148,0.9998235325055749,0.03557040133024392,0.018995936355878363
Pokemon_10_dustox,gaussian,little_noisy,sigma,0.01,anscombe_exact,0.8758966265052193,42.37998880347735,0.2168870754678801,11.933338638325807,-0.6590095510373392,-30.446650165151546,1.8334597418314085,3.2752199180652255,2.194964807518163,4.7305883320643486e-05,0.006877927254678075,2.0228229378176602e-05,0.004497580391519045,0.25308389002958737,0.06407168362188644,0.0,0.9998235325055749,0.2855704013302439,0.2659203158399046
Pokemon_10_dustox,gaussian,little_noisy,sigma,0.01,median_clustering,0.8758966265052193,42.37998880347735,0.8667037694993027,22.9356168761724,-0.009192857005916544,-19.444371927304953,1.8334597418314085,3.2752199180652255,2.2803092309495208,4.7305883320643486e-05,0.006877927254678075,0.005085556557962738,0.0713130882654982,0.018629351948333206,0.005086725621598141,0.38185185185185183,0.9504383472551396,0.9900215713655114,0.3357635978479127
Pokemon_10_dustox,gaussian,little_noisy,sigma,0.01,log_gaussian,0.8758966265052193,42.37998880347735,0.8493245754971007,20.503390660493203,-0.026572051008118547,-21.87659814298415,1.8334597418314085,3.2752199180652255,2.0987110333667958,4.7305883320643486e-05,0.006877927254678075,0.008641839947854321,0.09296149712571501,0.02453478746272023,0.008905553847419364,0.4075925925925926,0.9157930338772367,0.9933854600207302,0.561883717000198
Pokemon_10_dustox,gaussian,noisy,sigma,0.03,frequency_domain,0.5027194930229634,32.86916941031417,0.5234150241316842,30.612381262891407,0.0206955311087208,-2.256788147422764,1.8334597418314085,4.482596101043568,4.5538924801622915,0.0004235793156019233,0.020581042626697105,0.000774350248704111,0.027827149489376573,0.01748226551890932,0.0008684841036293041,0.3613425925925926,0.9933210942715835,0.27198595324634,0.1186081480111418
Pokemon_10_dustox,gaussian,noisy,sigma,0.03,anscombe_naive,0.5027194930229634,32.86916941031417,0.5907583649921725,36.08515168764469,0.08803887196920912,3.215982277330518,1.8334597418314085,4.482596101043568,2.907051834055257,0.0004235793156019233,0.020581042626697105,0.00016469690992554898,0.012833429390679212,0.013020138936298232,0.0002463115806573278,0.38155092592592593,0.9985769515505801,0.11222646081159693,0.05429426511878613
Pokemon_10_dustox,gaussian,noisy,sigma,0.03,anscombe_exact,0.5027194930229634,32.86916941031417,0.21236945305785726,11.722214841910787,-0.2903500399651061,-21.146954568403384,1.8334597418314085,4.482596101043568,2.949074463624881,0.0004235793156019233,0.020581042626697105,0.00016469690992554898,0.012833429390679212,0.2590340838346663,0.06726335349799048,0.0,0.9985769515505801,0.36222646081159693,0.29582625085869035
Pokemon_10_dustox,gaussian,noisy,sigma,0.03,median_clustering,0.5027194930229634,32.86916941031417,0.7764980757132792,22.959101162700698,0.27377858269031585,-9.910068247613474,1.8334597418314085,4.482596101043568,3.336755749998388,0.0004235793156019233,0.020581042626697105,0.005058803331661918,0.07112526507270056,0.021324509976840773,0.005059293608063532,0.3892824074074074,0.9506685828060186,0.9815034249543111,0.34186691276889764
Pokemon_10_dustox,gaussian,noisy,sigma,0.03,log_gaussian,0.5027194930229634,32.86916941031417,0.8396511421445324,20.711893548240674,0.33693164912156903,-12.157275862073497,1.8334597418314085,4.482596101043568,2.312684663201636,0.0004235793156019233,0.020581042626697105,0.008266973940394435,0.09092290107775067,0.0248596967599461,0.008488103083011247,0.4312037037037037,0.9200080202318273,0.9897034373333251,0.5450163925311873
Pokemon_10_dustox,gaussian,very_noisy,sigma,0.06,frequency_domain,0.3025057213384126,26.748290216762133,0.31968267670335454,27.141574709115183,0.01717695536494196,0.3932844923530503,1.8334597418314085,5.305876559785618,5.3470505328937525,0.0017304693142786974,0.04159891001310848,0.0015451501216005323,0.03930839759644919,0.029861974043880617,0.0019312679312739397,0.38069444444444445,0.986258308420928,0.3065745381444569,0.14590501268574405
Pokemon_10_dustox,gaussian,very_noisy,sigma,0.06,anscombe_naive,0.3025057213384126,26.748290216762133,0.37866021599973876,30.628898476063657,0.07615449466132618,3.8806082593015248,1.8334597418314085,5.305876559785618,3.499425923315436,0.0017304693142786974,0.04159891001310848,0.0005412615626659619,0.023265028748444775,0.024910760727722657,0.0008651873329626763,0.39921296296296294,0.995364480968179,0.2158665460293499,0.09899870915245954
