Name,PSNR,SSIM,MSE,Entropy_Diff,Noise_Variance,Sharpness,Spatial_Freq,Dynamic_Range
noisy_BSDS300_10_46076.jpg,13.3545135371062,0.09528807372769162,3003.509480724434,0.6098828996998833,4914.370873625459,49463.30139566766,18823.496568799823,1.0
noisy_BSDS300_11_66039.jpg,13.44099085242507,0.14296473858480896,2944.2946893694557,0.5196377865760349,4073.2756657461923,46120.12440851275,18306.528152597864,1.0
noisy_BSDS300_12_249087.jpg,13.25209062509273,0.20376174109600861,3075.185359334892,0.1756349850705119,4396.001059002632,52433.74948855314,19922.498744151828,1.0
noisy_BSDS300_13_20008.jpg,13.204237079072387,0.09989223368921785,3109.2572306310626,1.2260971712473996,3870.063386783878,55368.71235343737,19805.42424610708,1.0
noisy_BSDS300_14_42044.jpg,13.485479209723547,0.1264283536597242,2914.287811175662,2.009775478822494,2881.9293671186433,40390.12321270771,17104.053294036592,1.0
noisy_BSDS300_15_108070.jpg,13.442698236595964,0.21417633906991249,2943.1373976420705,0.6923857735051202,3417.933611916206,50216.114762168334,19350.706230511736,1.0
noisy_BSDS300_16_87065.jpg,13.22044738326359,0.30677824416849603,3097.6733721500077,0.2531254254586317,4131.555354375999,54628.221860492704,20880.303420249213,1.0
noisy_BSDS300_17_143090.jpg,13.270615821135802,0.06381764394973467,3062.0958348715358,0.41461953285054065,3545.996543700388,52283.85454600956,19100.833670321346,1.0
noisy_BSDS300_18_117054.jpg,13.2756343964571,0.20497299552604353,3058.5594134753014,0.044039848642375645,4714.930718353397,52031.713900150746,19970.792500080766,1.0
noisy_BSDS300_19_189080.jpg,13.36508958992092,0.08536425195780915,2996.2041545499487,0.4491064602643213,5199.745115422587,47709.3677688072,18697.39299277031,1.0
noisy_BSDS300_1_26031.jpg,13.395339491467338,0.37678938148489566,2975.4072145474015,0.5173550814612042,5506.824307234552,48532.385867891906,20420.068036839377,1.0
noisy_BSDS300_20_42049.jpg,13.430332618160142,0.10969258719545168,2951.529301407806,1.384018479402613,4047.712060968746,49625.43888150999,19271.357500385726,1.0
noisy_BSDS300_2_97033.jpg,13.263540026532358,0.22177287298059442,3067.0888573692314,0.15963989707190418,5363.283675775509,48326.4597240197,19288.830810709638,1.0
noisy_BSDS300_3_15088.jpg,13.18924542875582,0.14313024479605466,3120.0087931209428,1.0063138059552017,3730.019094440019,55622.041411246035,19916.113822418214,1.0
noisy_BSDS300_4_176039.jpg,13.320452175004828,0.13110823906199365,3027.158377644359,0.30704924129316424,4510.17660745026,51379.01277163494,19521.86797874211,1.0
noisy_BSDS300_5_385039.jpg,13.357768044205276,0.20177674127555043,3001.2595600632985,0.3329545677657437,4636.595072052822,50896.24814580864,19748.583501299814,1.0
noisy_BSDS300_6_188005.jpg,13.26305399757661,0.09778805961268078,3067.432121553617,0.3222462650162754,3809.66074219212,51952.14634134002,19130.828876117,1.0
noisy_BSDS300_7_25098.jpg,13.31070282981389,0.1770572149276417,3033.961587036353,0.07519286623410704,4478.095183265461,50950.38023962035,19657.247789913294,1.0
noisy_BSDS300_8_101087.jpg,13.140959627294915,0.1163227162355644,3154.8912830875447,1.4266726475883456,5050.362707354962,48156.589030165946,18821.903808751827,1.0
noisy_BSDS300_9_187003.jpg,13.368270444897064,0.19114343521936136,2994.0104813656217,0.24732511747585662,4465.71684184523,50732.73234506653,19533.428166148,1.0
noisy_Pistachio_Image_Dataset_10_siirt 380.jpg,13.197328216829089,0.03133528621126314,3114.2074490740742,4.697281988742958,5513.286895313821,32353.601279837974,23133.471153337076,1.0
noisy_Pistachio_Image_Dataset_11_kirmizi 993.jpg,13.183491623266303,0.0262127749654736,3124.145115740741,4.921006044260087,5117.394447091821,31380.992077988805,22757.903202393092,1.0
noisy_Pistachio_Image_Dataset_12_kirmizi 843.jpg,13.160347222767506,0.022634616480443275,3140.838737037037,5.033137151262835,4067.855937008883,32770.35702291185,23066.19489994384,1.0
