SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.25820973616608284,11.897075545480575,4201.194674744898,3614.693802703762,60.122323663542495,7.248718403405514,1332.588695749746,4.jpg,4.jpg
0.17695821571241538,8.625237681421464,8923.93899473852,7108.386384296915,84.31124708066484,7.785930388826064,1339.9804073780192,5.jpg,5.jpg
0.0519176551403937,4.6817483981586845,22126.133124734268,8964.066354191491,94.67875344654412,7.346075378073672,7007.564614740028,2.jpg,2.jpg
0.09945689536727959,4.799461315853339,21534.472071641158,6551.367436879941,80.9405178935738,5.840811959168779,1157.9831747589683,3.jpg,3.jpg
0.08420689549494438,7.945260788893899,10436.485690369898,3937.9181697472445,62.75283395789583,7.407616611354768,5940.934612250338,1.jpg,1.jpg
0.11621280101997114,8.116051243831418,10034.02633397109,9993.432281638014,99.96715601455317,7.432848516819145,5575.978276844572,4.jpg,4.jpg
0.08228173892778615,5.602978510346288,17897.093617134353,6412.06313529706,80.07535910189264,7.245548599211581,4793.114497418307,5.jpg,5.jpg
0.13288530835947118,5.704962073527509,17481.719739849064,9138.751469981871,95.59681725864031,7.692773711031447,2762.5779493539244,2.jpg,2.jpg
0.09097901985302247,7.9774133691586435,10359.505467421344,9172.486271864305,95.77309785041051,7.731589532106253,22295.378214342407,3.jpg,3.jpg
0.11729367941914957,9.320713397163022,7603.420705782313,6605.977544686129,81.27716496462047,7.83676854211864,3899.7783373698053,1.jpg,1.jpg
