SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.13488759895140504,8.913824361906492,8350.220131802722,8078.24716588312,89.87906967633299,7.866800043148973,3673.979157717115,4.jpg,4.jpg
0.07030264728258438,6.361440427610522,15029.215720663266,8881.948616994703,94.24409062108192,7.8391640015391095,5353.21786408621,5.jpg,5.jpg
0.0910613699741432,5.59881060066325,17914.277642697703,8782.117978853423,93.7129552348736,7.806683901800535,3542.598822756143,2.jpg,2.jpg
0.07256662252706855,6.473683162529404,14645.764435852467,10962.850641339804,104.70363241712202,7.420031326596503,3334.377038943773,3.jpg,3.jpg
0.1024846639299641,8.816126122311344,8540.194242931548,8012.69088428519,89.51363518640716,7.501753440214004,4717.818743910705,1.jpg,1.jpg
0.12359669862342682,9.858355840281929,6718.073899872449,6706.502296196725,81.89323718230172,7.608603984835065,5179.290575541441,4.jpg,4.jpg
0.2333731177962911,8.905391090581977,8366.450613839286,6944.3027372967945,83.33248308610992,7.573998296826744,2490.66419851636,5.jpg,5.jpg
0.06716206626141684,5.554383022590198,18098.478183460884,10624.057381672797,103.07306816852207,7.779089511554127,4018.8448940497146,2.jpg,2.jpg
0.13676296764672366,6.894307532110919,13293.814293686224,13129.063234754227,114.58212441194406,7.730058513552314,9755.172990534018,3.jpg,3.jpg
0.10081688458041965,10.479103421077898,5823.311457004677,5220.145489298755,72.25057431812397,7.715679458231124,2544.8422263056873,1.jpg,1.jpg
