Name,PSNR,SSIM,MSE,Entropy_Diff,Noise_Variance,Sharpness,Spatial_Freq,Dynamic_Range,Majory
noisy_BSDS300_10_46076.jpg,19.06026158659579,0.5588543491672113,94.05100787343778,0.051327431667004,10010.952002291704,1.636828734062076,1.4360131403120675,189,False
noisy_BSDS300_11_66039.jpg,18.246711400055005,0.3573812314709304,95.44457613616493,0.1810216070946184,11405.762687289023,1.67574682607689,1.7161042849094217,215,False
noisy_BSDS300_12_249087.jpg,16.668458514629208,0.2408358476603321,96.74356383702178,0.3613240417975829,10571.838165573265,1.6749111634606724,1.6063976101742563,194,False
noisy_BSDS300_13_20008.jpg,20.15811454776767,0.5809938615671797,85.01501501501501,0.0934887337269181,9097.438726573982,1.492885373495923,1.1681350526841323,148,False
noisy_BSDS300_14_42044.jpg,18.953090641211,0.5752495388947757,77.05531699924224,0.8835709460737764,10108.203931346454,1.4158068842208151,1.2417921577606297,118,False
noisy_BSDS300_15_108070.jpg,17.62604510180363,0.2441594120059522,87.56057063533699,0.5284638679898199,11805.431795357094,1.5958899226152048,1.1997065716805402,153,False
noisy_BSDS300_16_87065.jpg,14.687961288024727,0.1184194952774724,104.4961712251432,1.1828616268516754,8816.728657599086,1.7788938968909294,1.361106063341363,129,False
noisy_BSDS300_17_143090.jpg,21.176969231584884,0.6640832213522455,90.76878172205276,0.379269040220664,9459.40327293099,1.6439919262786074,1.32347130172021,185,False
noisy_BSDS300_18_117054.jpg,16.010579895177095,0.3611749626439453,99.96451447853318,0.3195760882078762,8655.474508960742,1.9184460810999835,1.9774066086599833,226,False
noisy_BSDS300_19_189080.jpg,17.292145366197175,0.5828738095168838,95.64316725064388,0.0579417115621234,9672.662214104736,1.713648226618247,2.0050532380709996,212,False
noisy_BSDS300_1_26031.jpg,12.945208082132908,0.2049959600781606,98.86737780195725,0.2662480926232451,8270.219303843376,1.6708117104516644,1.754996525982384,238,False
noisy_BSDS300_20_42049.jpg,16.624346111466586,0.6817715097771867,103.42440355524468,0.5482188467453675,6272.29583894258,1.609464846776333,1.5932976324429406,198,False
noisy_BSDS300_2_97033.jpg,15.578835086740504,0.2876596884458067,101.0949173472538,0.0573622739162438,9661.11904182938,1.8572094226469615,2.3342880827215104,225,False
noisy_BSDS300_3_15088.jpg,19.52052536189711,0.4452591542516224,102.43506842572263,0.5031221249108002,7877.625075935363,1.4444206940725446,1.155775344318741,162,False
noisy_BSDS300_4_176039.jpg,17.619383887276058,0.5281470068453349,90.27457076055208,0.1700290728457494,10343.608136026674,1.9775584321046624,1.8277513871577031,203,False
noisy_BSDS300_5_385039.jpg,15.416823455299458,0.3517462723507554,94.37061936127355,0.2985877314771397,10191.011888786266,1.611343168592538,1.8115133709945783,196,False
noisy_BSDS300_6_188005.jpg,20.36003083980711,0.4529067542038303,92.28799468051804,0.4003483003822774,11223.444596996362,1.6160840805969554,1.273372589804297,173,False
noisy_BSDS300_7_25098.jpg,14.891142649727207,0.2816901495929269,104.57130458999616,0.6902984958597562,8846.322163341652,1.809185169476466,1.7059254869300324,218,False
noisy_BSDS300_8_101087.jpg,16.313477175554215,0.517765958153626,99.77542028009316,1.1824127325692857,8440.897549205258,111.86060954983311,2.0666584262332135,255,False
noisy_BSDS300_9_187003.jpg,17.134048057295235,0.3557477471506443,91.8227343087156,0.2829725902298463,10796.231306837188,1.70046171406121,1.6082017279528715,213,False
noisy_Pistachio_Image_Dataset_10_siirt 380.jpg,18.702782642525825,0.2035851978328808,102.25721296296295,3.68426218231199,7499.675358313303,1.0664222207098764,1.3571314554690286,237,False
noisy_Pistachio_Image_Dataset_11_kirmizi 993.jpg,18.84215588287957,0.1780769883923298,107.3677787037037,3.7541882992203273,6408.26866655862,1.0063916653626546,1.3087203773742893,246,False
noisy_Pistachio_Image_Dataset_12_kirmizi 843.jpg,19.62633811946591,0.1579163329007179,107.742525,3.550220909491806,5911.887890687243,0.9076111066666668,1.1106005133612362,201,False
noisy_Pistachio_Image_Dataset_13_kirmizi 868.jpg,19.188586743417744,0.1901880098402636,105.0959,3.6524831495816983,6726.59666987517,0.9838777777469137,1.3363512728848286,235,False
noisy_Pistachio_Image_Dataset_14_kirmizi 567.jpg,19.42569323213076,0.1686603496091235,106.36676388888888,3.707167120962496,6123.473864262242,0.965199998888889,1.2893165742805466,234,False
noisy_Pistachio_Image_Dataset_15_kirmizi 1105.jpg,18.517232132630863,0.1648792936888017,104.90000925925926,3.7836060100424302,6319.7574219762655,22.79449444444445,1.398946260567389,255,False
noisy_Pistachio_Image_Dataset_16_siirt 651.jpg,19.056500563606168,0.2303764163823307,103.05770462962964,3.6318955148273098,7641.944086764772,1.1593416665972225,1.4295552697737102,245,False
noisy_Pistachio_Image_Dataset_17_kirmizi 521.jpg,19.374453634373715,0.1905372069507918,105.94565092592592,3.659728572818744,6946.139211972836,1.025652776473765,1.252604409802581,210,False
