Name,PSNR,SSIM,MSE,Entropy_Diff,Noise_Variance,Sharpness,Spatial_Freq,Dynamic_Range,Majory
noisy_BSDS300_10_46076.jpg,17.95005716875036,0.5656573797910577,94.6135430901786,0.4231262184263249,11029.678907817202,1.4911323566643764,1.1394632663173911,180,False
noisy_BSDS300_11_66039.jpg,16.892653001389405,0.3086259646097815,104.28320628320628,0.541615580785324,7991.676233404463,1.502418959829016,1.2738830932448169,209,False
noisy_BSDS300_12_249087.jpg,16.40772374106641,0.236637422208118,98.87138900223012,0.6151124123625022,10499.958541575365,1.659330628242928,1.2963044133675907,165,False
noisy_BSDS300_13_20008.jpg,19.643925595492753,0.5843887807678052,80.52851341636388,0.4974914672793575,12290.10151992842,1.4199454001606513,0.9957301851251406,151,False
noisy_BSDS300_14_42044.jpg,16.97904696885443,0.3982809780206047,110.6422367730779,0.0121835289879976,4820.815977108826,1.3310492046769662,1.0376854823520014,107,True
noisy_BSDS300_15_108070.jpg,17.248384269505898,0.233467977004571,101.27243346869516,0.8645344706843812,8327.912526530574,1.448693118444301,0.981322191536984,138,False
noisy_BSDS300_16_87065.jpg,14.755374496069653,0.1192921510486273,103.90437238100787,1.262889755426741,8948.851048466126,1.7160078814357238,1.104023779803164,132,False
noisy_BSDS300_17_143090.jpg,19.72607051736442,0.6559391350471212,91.30870482272351,0.649733354860766,11960.419514715904,1.5457347871287377,1.1784229686649708,169,False
noisy_BSDS300_18_117054.jpg,15.693201318301831,0.363852978212942,104.71920086873358,0.6637066395099227,8341.376413474592,1.741003373486142,1.5841367535786235,187,False
noisy_BSDS300_19_189080.jpg,16.503459768887172,0.5871435497224143,102.02416651014782,0.4365401839033307,10262.794554327513,1.6413149259450008,1.5740719633196008,180,False
noisy_BSDS300_1_26031.jpg,12.679586088944207,0.1769949852180949,109.16862800974953,0.1213979617975082,5781.953063538544,1.6076147700672916,1.4354955932508957,194,False
noisy_BSDS300_20_42049.jpg,15.912558782578133,0.6919375551614486,112.94989022091826,0.1777178718016294,4753.509037274798,1.5523106797711756,1.3010338520976188,177,False
noisy_BSDS300_2_97033.jpg,14.83124382256172,0.2911058385439975,99.7239093874608,0.3487214956981015,9214.608933556634,1.740787494899784,1.8931519677416015,192,False
noisy_BSDS300_3_15088.jpg,19.096194951200246,0.4430468542311604,105.88286345295693,0.7177207936787235,7715.70167914877,1.229156544270902,0.9341258306658164,141,False
noisy_BSDS300_4_176039.jpg,17.31570148988396,0.516776499136221,91.65207695114238,0.5626217319549323,10972.156954891663,1.7362559587347848,1.3725328684716505,181,False
noisy_BSDS300_5_385039.jpg,15.131420731542768,0.3396036987048075,98.3831516635255,0.6543760128842182,9343.382547394402,1.5790700744867,1.514612243337371,160,False
noisy_BSDS300_6_188005.jpg,19.79812503879694,0.4416059342541692,94.2976880546974,0.6532321084824924,11797.12895470355,1.6088841736086164,1.0809339816469985,151,False
noisy_BSDS300_7_25098.jpg,14.38261548227834,0.243853998086494,109.21013680826763,0.5216844541177776,8223.998160274761,1.6920702122747022,1.424274749348343,197,False
noisy_BSDS300_8_101087.jpg,15.741855919549067,0.5324588285037731,104.1175337810852,0.8843345574360582,8972.256742088462,1.7300211459147163,1.683484627084827,205,False
noisy_BSDS300_9_187003.jpg,16.693292973645974,0.3327593528451412,100.51358043881407,0.6653780659326287,10079.290993523598,1.626461722923497,1.3293732051006957,183,False
noisy_Pistachio_Image_Dataset_10_siirt 380.jpg,15.738006532746851,0.1630413609549119,114.74916296296296,3.386289747509647,5899.484054228307,0.9982786985982512,1.1000196788275225,202,False
noisy_Pistachio_Image_Dataset_11_kirmizi 993.jpg,15.749769290263924,0.1534556074020348,115.75442685185185,3.5281961266621567,5110.7552436177775,0.9711324042463994,1.0821170364036448,207,False
noisy_Pistachio_Image_Dataset_12_kirmizi 843.jpg,16.231284646236556,0.1382548426422802,114.13366944444444,3.3865195926614304,5075.7137174674,0.8287388818775722,0.9306878655180468,175,False
noisy_Pistachio_Image_Dataset_13_kirmizi 868.jpg,15.874386707117525,0.1669413800381174,114.48505833333331,3.4189845504618694,5225.896433789746,0.9212814806738682,1.095330883882148,195,False
noisy_Pistachio_Image_Dataset_14_kirmizi 567.jpg,15.962716433595324,0.1465287447018305,114.08741296296296,3.5327939499758427,4967.864621518025,0.916727771712963,1.0553329416381347,206,False
noisy_Pistachio_Image_Dataset_15_kirmizi 1105.jpg,15.603909845123743,0.1406236881660705,116.93875925925926,3.5864703423327193,4954.034778008766,0.9662694406558644,1.1408340717939571,217,False
noisy_Pistachio_Image_Dataset_16_siirt 651.jpg,15.895090452850544,0.2006847740981815,116.4654962962963,3.401519590545161,6366.0726586037,1.0791898079758229,1.1816852513436922,210,False
noisy_Pistachio_Image_Dataset_17_kirmizi 521.jpg,16.06881399398706,0.1675645645987694,115.28388425925924,3.469311469444975,5631.066593502896,0.9237499885545268,1.0380196981764744,180,False
noisy_Pistachio_Image_Dataset_18_kirmizi 1081.jpg,15.71037877860211,0.1535570946896851,114.25581296296296,3.443750584188068,5842.728426869127,1.0122787022402262,1.1009696572876897,206,False
noisy_Pistachio_Image_Dataset_19_kirmizi 56.jpg,15.154283891420018,0.1971740070925247,118.0802648148148,3.6754817325876847,5524.32829404293,1.0442657394984571,1.2088303914449188,219,False
noisy_Pistachio_Image_Dataset_1_siirt 578.jpg,15.70947638014362,0.1576331969377547,113.08335277777778,3.474132754926745,5124.01229625086,0.9622361079140944,1.0752487323003577,198,False
noisy_Pistachio_Image_Dataset_20_kirmizi 349.jpg,16.128197078060577,0.153678182031848,115.55041111111112,3.4048552981628246,5007.375851493661,0.8097537028034977,1.0220775876025288,196,False
noisy_Pistachio_Image_Dataset_2_siirt (7).jpg,16.07146835602999,0.1654315162792002,114.61044814814817,3.2588181590055885,6309.486213406582,1.0493703686419755,1.1034746086446352,199,False
noisy_Pistachio_Image_Dataset_3_kirmizi 224.jpg,16.26296556184353,0.2033813593254729,116.14325833333334,3.323548709044601,6419.996423496462,0.934174070601852,1.079980608597045,201,False
noisy_Pistachio_Image_Dataset_4_kirmizi 275.jpg,15.925450455022624,0.1984523151873373,116.01482777777778,3.4761384534126503,6485.256772799996,1.1563194359130655,1.1385940937097032,192,False
noisy_Pistachio_Image_Dataset_5_kirmizi 513.jpg,16.003933874257026,0.1831268871380341,115.05801296296296,3.3745566335821056,5679.517038367287,0.93579351682356,1.073808752933927,200,False
noisy_Pistachio_Image_Dataset_6_kirmizi 55.jpg,16.22261872537724,0.1475988544665559,111.25453888888887,3.3972399128517243,5675.306141453702,0.8503407375668726,0.9790164248904286,187,False
noisy_Pistachio_Image_Dataset_7_kirmizi 424.jpg,15.957180439374222,0.1540326398783952,116.33334814814816,3.4280368071641587,5990.725583894974,1.014858329169239,1.0950936681447978,191,False
noisy_Pistachio_Image_Dataset_8_kirmizi 1029.jpg,15.32395315625247,0.1763871397542018,115.98444907407408,3.5479026505816824,5250.049210811791,0.9917499977006172,1.1346147589440485,213,False
noisy_Pistachio_Image_Dataset_9_kirmizi 141.jpg,15.765282345549132,0.1670244414999742,115.68686111111111,3.538235055876203,5362.366460173812,0.9645166656584362,1.1174547131210495,202,False
noisy_Pokemon_10_dustox.png,15.881434792048196,0.0470734567109164,113.39856481481482,4.480509832599266,3443.097200994513,2.147129253472222,3.597388500570659,173,False
noisy_Pokemon_11_muk.png,15.320436724212028,0.0764550366519686,113.77164351851852,4.736590391005264,5160.849832342571,2.791508629115226,4.537194246749254,175,False
noisy_Pokemon_12_wobbuffet.png,15.915364542085902,0.0643655600465332,116.53127314814814,4.686192101568215,3504.5188400071806,2.1740028211805553,3.8285466673217585,215,False
noisy_Pokemon_13_aromatisse.png,15.28333191998206,0.0647796872613563,112.50680555555556,4.598618033861055,4183.367322477281,2.2410608667695473,4.217569830889563,209,False
noisy_Pokemon_14_lotad.png,16.298783958346817,0.024072326749009,113.97648148148149,4.440796503676992,1667.91649896905,1.9356479134516464,2.716974142935024,160,False
noisy_Pokemon_15_honedge.png,15.027806796467926,0.0421453053111743,115.82287037037035,4.713388104794099,2666.65791769333,2.4008305073302467,4.024578386109069,171,False
noisy_Pokemon_16_poliwrath.png,15.372559021383816,0.0527988977567271,114.07875,4.624844592109902,3175.2849387517144,2.421734473058127,4.338762420817509,211,False
