SSIM,PSNR,MSE,Noise_Variance,Noise_Std,Entropy,Sharpness,Image_Name,Original_Image
0.22023483555614468,7.797797376719213,10796.93839019983,4975.863120994936,70.53979813548474,7.0558802309378414,799.9061290974519,4.jpg,4.jpg
0.0137361828964723,3.0040905325045304,32559.018734056124,8195.456406315241,90.52876010592016,4.4699633102938465,2646.7391116493,5.jpg,5.jpg
0.05727784259881853,2.9841999767392045,32708.480056866498,8356.612994338831,91.41451194607359,6.859320710161295,6121.813796607816,2.jpg,2.jpg
0.11133656375802063,5.002739918883988,20549.741775616498,10793.38971151461,103.89123982085597,6.942150808232267,4149.822125473801,3.jpg,3.jpg
0.01726600628492622,4.930002279299754,20896.81668526786,6543.940059555415,80.89462318074926,5.053330768090253,2215.8692354887835,1.jpg,1.jpg
0.13486467331482277,8.728414049635495,8714.429401838861,5967.530413634863,77.24979232098208,7.021319696615019,6525.509641063457,4.jpg,4.jpg
0.0372659747105866,3.2730195121876053,30604.015246332907,5818.38386743737,76.2783315721927,5.1234628212796505,2398.3354196254536,5.jpg,5.jpg
0.08461850414885153,4.190876398546201,24773.805351828232,9710.629722899028,98.542527483818,7.565219139533638,1537.7336922232084,2.jpg,2.jpg
0.13100026173107784,5.976416865938942,16422.47745269983,7926.144443383094,89.02889667620897,7.028664903142696,1830.5516795353412,3.jpg,3.jpg
0.04545907076150492,5.029954648165662,20421.37103396046,3706.185181118414,60.878445948614804,5.897932897871265,1463.887039418123,1.jpg,1.jpg
